Account Number,Invoice Number,Invoice Date,Tracking Number,Pickup Number,Reference Number 1,Reference Number 2,Reference Number 3,Reference Number 4,Reference Number 5,Shipping System / Adjustment,Zone,Service Type,Published Charge,Incentives,Net Amount Due
0000005E5E,000000056027203,27 Dec 2022,,,,,,,,Total Non-Taxable Charges,,,,,£36.66
0000005E5E,000000056027203,27 Dec 2022,,,,,,,,Discounts,,,,,-£98.09
0000005E5E,000000056380572,31 Jan 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000056380572,31 Jan 2023,,,,,,,,Discounts,,,,,-£109.42
0000005E5E,000000056380572,31 Jan 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000056380572,31 Jan 2023,1Z005E5E0409797866,,,,,,,Non-European Union Waybills,005,WW Express Saver,£150.27,£109.42,£40.85
0000005E5E,000000056380572,31 Jan 2023,,,,,,,,Total Non-Taxable Charges,,,,,£40.85
0000005E5E,000000056380572,31 Jan 2023,,,,,,,,Non-European Union Waybills,,,,,£150.27
0000005E5E,000000055422000,01 Nov 2022,,,,,,,,Total Non-Taxable Charges,,,,,£90.26
0000005E5E,000000055422000,01 Nov 2022,,,,,,,,Charges,,,,,£90.26
0000005E5E,000000055422000,01 Nov 2022,V0350502815,,,,,,,Shipment Detail,004,WW Express,£90.26,£0.00,£90.26
0000005E5E,000000055513976,08 Nov 2022,,,,,,,,Total Taxable Charges,,,,,£4.20
0000005E5E,000000055513976,08 Nov 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055513976,08 Nov 2022,,,,,,,,Discounts,,,,,-£102.72
0000005E5E,000000055513976,08 Nov 2022,,,,,,,,Non-European Union Waybills,,,,,£141.10
0000005E5E,000000055513976,08 Nov 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055513976,08 Nov 2022,,,,,,,,Total Non-Taxable Charges,,,,,£38.38
0000005E5E,000000055513976,08 Nov 2022,,,,,,,,VAT,,,,,£0.84
0000005E5E,000000055513976,08 Nov 2022,NOTRK000000102463,,,,,,,Adjustments,,SRV1000UNC,£4.20,£0.00,£4.20
0000005E5E,000000055513976,08 Nov 2022,1Z005E5E0421764627,,,,,,,Non-European Union Waybills,005,WW Express Saver,£141.10,£102.72,£38.38
0000005E5E,000000055513976,08 Nov 2022,,,,,,,,Adjustments,,,,,£4.20
0000005E5E,000000055860277,13 Dec 2022,1Z005E5E0424584843,,,,,,,Non-European Union Waybills,005,WW Express Saver,£136.60,£99.44,£37.16
0000005E5E,000000055860277,13 Dec 2022,,,,,,,,Discounts,,,,,-£198.88
0000005E5E,000000055860277,13 Dec 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055860277,13 Dec 2022,,,,,,,,Total Non-Taxable Charges,,,,,£74.32
0000005E5E,000000055860277,13 Dec 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055860277,13 Dec 2022,1Z005E5E0414927241,,,,,,,Non-European Union Waybills,005,WW Express Saver,£136.60,£99.44,£37.16
0000005E5E,000000055860277,13 Dec 2022,,,,,,,,Non-European Union Waybills,,,,,£273.20
0000005E5E,000000055943899,20 Dec 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055943899,20 Dec 2022,,,,,,,,Non-European Union Waybills,,,,,£137.13
0000005E5E,000000055943899,20 Dec 2022,,,,,,,,Discounts,,,,,-£99.83
0000005E5E,000000055943899,20 Dec 2022,,,,,,,,Total Non-Taxable Charges,,,,,£37.30
0000005E5E,000000055943899,20 Dec 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055943899,20 Dec 2022,1Z005E5E0421867454,,,,,,,Non-European Union Waybills,005,WW Express Saver,£137.13,£99.83,£37.30
0000005E5E,000000056677685,28 Feb 2023,1Z005E5E0418365501,,,,,,,Non-European Union Waybills,005,WW Express Saver,£147.42,£107.34,£40.08
0000005E5E,000000056677685,28 Feb 2023,1Z005E5E0415413286,,,,,,,Non-European Union Waybills,005,WW Express Saver,£147.42,£107.34,£40.08
0000005E5E,000000056677685,28 Feb 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000056677685,28 Feb 2023,,,,,,,,Non-European Union Waybills,,,,,£444.82
0000005E5E,000000056677685,28 Feb 2023,,,,,,,,Total Non-Taxable Charges,,,,,£120.94
0000005E5E,000000056677685,28 Feb 2023,,,,,,,,Discounts,,,,,-£323.88
0000005E5E,000000056677685,28 Feb 2023,1Z005E5E0407610293,,,,,,,Non-European Union Waybills,005,WW Express Saver,£149.98,£109.20,£40.78
0000005E5E,000000056677685,28 Feb 2023,,,,,,,,Discounts,,,,,
