Account Number,Invoice Number,Invoice Date,Tracking Number,Pickup Number,Reference Number 1,Reference Number 2,Reference Number 3,Reference Number 4,Reference Number 5,Shipping System / Adjustment,Zone,Service Type,Published Charge,Incentives,Net Amount Due
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Adjustments,,,£0.00,£0.00,£3.44
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Discounts,,,,,-£199.08
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Total Non-Taxable Charges,,,,,£76.87
0000005E5E,000000058393983,22 Aug 2023,1Z005E5E0400178014,,,,,,,Non-European Union Waybills,005,WW Express Saver,£149.42,£108.80,£40.62
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Adjustments,,,£0.00,£0.00,£0.38
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Adjustments,,,£3.44,£0.00,£3.44
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Non-European Union Waybills,,,,,£272.13
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Adjustments,,,£0.38,£0.00,£0.38
0000005E5E,000000058393983,22 Aug 2023,1Z005E5E0434919436,,,,,,,Non-European Union Waybills,002,WW Express Saver,£122.71,£90.28,£32.43
0000005E5E,000000058393983,22 Aug 2023,,,,,,,,Adjustments,,,,,£3.82
0000005E5E,000000003660894,23 Aug 2023,,,,,,,,Total Non-Taxable Charges,,,,,£0.38
0000005E5E,000000003660894,23 Aug 2023,,,,,,,,Adjustments,,,,,£0.38
0000005E5E,000000003660894,23 Aug 2023,1Z005E5E0434919436,,,,,,,Adjustments,,,£0.38,£0.00,£0.38
